"","level","new_taxa","term","df","sumsq","meansq","statistic","p.value"
"133","family","Defluviitaleaceae","treatment",5,29.1737641559604,5.83475283119208,0.970422659299714,0.446888666382843
"134","family","Desulfobulbaceae","treatment",5,10.4473990338854,2.08947980677708,0.747978032439542,0.59217759632187
"135","family","Desulfovibrionaceae","treatment",5,352.149204470442,70.4298408940884,1.51717582979189,0.205079196956157
"136","family","Dysgonomonadaceae","treatment",5,43.3523655570749,8.67047311141499,0.881138309148977,0.502123483611634
"137","family","Eggerthellaceae","treatment",5,148.832672622575,29.766534524515,2.68019735311778,0.0343625917445145
"138","family","Elusimicrobiaceae","treatment",5,21.4690722936354,4.29381445872708,0.565188529391356,0.726056737355725
"139","family","Enterobacteriaceae","treatment",5,8319.78099898846,1663.95619979769,0.747746381770154,0.592341251440514
"140","family","Enterococcaceae","treatment",5,30.8940786022667,6.17881572045334,0.550920858947625,0.736690916709374
"141","family","Erysipelotrichaceae","treatment",5,4208.20628218897,841.641256437794,1.64890226589935,0.168256429812529
"142","family","Eubacteriaceae","treatment",5,14.4983949568353,2.89967899136707,0.830436354954548,0.53540323911635
"143","family","F082","treatment",5,2443.87719807909,488.775439615817,0.50448876003417,0.771141508000189
"144","family","Family XI","treatment",5,1.83783662199375,0.367567324398751,0.923000070303865,0.475674690900173
"145","family","Family XII","treatment",5,4.33355150039581,0.866710300079162,0.307901849107972,0.907023657130077
"146","family","Family XIII","treatment",5,2532.09750154347,506.419500308693,3.26680572028719,0.0139802194233665
"147","family","Fibrobacteraceae","treatment",5,723.981208006267,144.796241601253,0.778557048780219,0.570768570294313
"148","family","Flavobacteriaceae","treatment",5,28.7736111633605,5.75472223267209,0.667273035259174,0.650342868157099
"149","family","Fusobacteriaceae","treatment",5,1429.16624019306,285.833248038612,0.450813484599836,0.810270231144025
"150","family","gut metagenome","treatment",5,12.4070650814563,2.48141301629125,0.305875636424155,0.908712334573351
"151","family","Halomonadaceae","treatment",5,0.956546005874996,0.191309201174999,1.57674564857936,0.187580936576688
"152","family","Hydrogenophilaceae","treatment",5,2.68108187156666,0.536216374313333,0.410725940029549,0.838621917394592
"153","family","Intrasporangiaceae","treatment",5,1.71866371841043,0.343732743682085,0.187306262709135,0.965818530186634
"154","family","JG30-KF-CM45","treatment",5,3.24981513096041,0.649963026192082,0.852052876247375,0.521052734502806
"155","family","Lachnospiraceae","treatment",5,127592.427676784,25518.4855353568,2.07414526978659,0.0877551366651946
"156","family","Lactobacillaceae","treatment",5,78.4211545436189,15.6842309087238,0.662695708308724,0.653700836873549
"157","family","Lavandula angustifolia","treatment",5,2.53609680268542,0.507219360537084,0.971314086786604,0.44635976469576
"158","family","Marinifilaceae","treatment",5,94.3294434696857,18.8658886939371,0.530647748994927,0.75177324058853
"159","family","Medicago truncatula (barrel medic)","treatment",5,6.53690417449374,1.30738083489875,0.925651060722241,0.474032171404878
"160","family","metagenome","treatment",5,10.5618346384937,2.11236692769875,0.506982634550047,0.76930118675961
"161","family","Methanobacteriaceae","treatment",5,3942.50105350083,788.500210700166,1.94987851350545,0.106277910445841
"162","family","Methanomethylophilaceae","treatment",5,247.967254745435,49.5934509490869,0.315066409092586,0.90114908775231
"163","family","Methanomicrobiaceae","treatment",5,0.758382982191668,0.151676596438334,1.05637858888747,0.397994568982675
"164","family","Methylomonaceae","treatment",5,1.93698985104167,0.387397970208334,1.82993875133256,0.127749016097523
"165","family","Microbacteriaceae","treatment",5,4.87889544854168,0.975779089708336,1.12719916286584,0.360919501382848
"166","family","Micrococcaceae","treatment",5,21.2706608270438,4.25413216540875,1.44960235507719,0.226749389782061
"167","family","Mitochondria","treatment",5,28.5851170835938,5.71702341671877,1.77803921149325,0.138290176772508
"168","family","Moraxellaceae","treatment",5,347.314154608786,69.4628309217571,1.42935276340845,0.233640118577037
"169","family","Muribaculaceae","treatment",5,186.659482954566,37.3318965909133,1.15191513670757,0.348657874919008
